,,0
52,13,0.6736014
52,14,0.529734
52,15,0.5877178000000001
53,0,0.7403695
53,1,0.67803967
53,2,0.5100082
53,3,0.65086627
53,4,0.6140678
53,5,0.8328865
53,6,0.606194
53,7,0.80977726
53,8,0.7684042
53,9,0.17771906
53,10,0.49845487
53,11,0.56776357
53,12,0.573178
53,13,0.78240675
53,14,0.80597365
53,15,0.7566503000000001
54,0,0.5868025
54,1,0.5283856
54,2,0.34150022
54,3,0.48157775
54,4,0.43459624
54,5,0.5123717000000001
54,6,0.5291869
54,7,0.61947364
54,8,0.6163483000000001
54,9,0.2351076
54,10,0.5863583
54,11,0.47651184
54,12,0.46383262
54,13,0.60513943
54,14,0.65708005
54,15,0.5306674
55,0,0.5020087000000001
55,1,0.34272566
55,2,0.2112185
55,3,0.42943284
55,4,0.5089329
55,5,0.5078592000000001
55,6,0.19570403
55,7,0.5298334
55,8,0.54739296
55,9,0.5289931999999999
55,10,0.32962984
55,11,0.31281929999999997
55,12,0.34746343
55,13,0.53623104
55,14,0.44034589999999996
55,15,0.47563666
56,0,0.8925165999999999
56,1,0.8221955
56,2,0.55058265
56,3,0.7509026
56,4,0.7698573000000001
56,5,0.9166536
56,6,0.7152016
56,7,0.9799694999999999
56,8,0.91331726
56,9,0.32409498
56,10,0.7599028
56,11,0.76887727
56,12,0.7457729999999999
56,13,0.9213428
56,14,0.9050627
56,15,0.84470975
57,0,0.38784426
57,1,0.3242457
57,2,0.2502512
57,3,0.3718105
57,4,0.37157944
57,5,0.5411455
57,6,0.24130751
57,7,0.44404572
57,8,0.38018203
57,9,0.16692115
57,10,0.16524978
57,11,0.24092373
57,12,0.28944555
57,13,0.42695203
57,14,0.4149071
57,15,0.43450916
58,0,0.8470099
58,1,0.63713837
58,2,0.45002
58,3,0.68897784
58,4,0.60129344
58,5,0.8033906
58,6,0.5609432
58,7,0.8562655999999998
58,8,0.85868996
58,9,0.47436538
58,10,0.69160384
58,11,0.60824287
58,12,0.5933149999999999
58,13,0.85158116
58,14,0.9006499
58,15,0.7425571999999999
59,0,0.5556741
59,1,0.64203745
59,2,0.41533256
59,3,0.523614
59,4,0.5861746999999999
59,5,0.5918107
59,6,0.6007856
59,7,0.70075136
59,8,0.5648145
59,9,0.15213667
59,10,0.58132
59,11,0.65381455
59,12,0.5950339
59,13,0.62302625
59,14,0.5486711
59,15,0.5727444
60,0,0.64246166
60,1,0.45616147
60,2,0.29096052
60,3,0.5397765999999999
60,4,0.39903259999999996
60,5,0.5690344
60,6,0.28087804
60,7,0.66382337
60,8,0.6250538
60,9,0.34695685
60,10,0.40099034
60,11,0.29059052
60,12,0.35538754
60,13,0.6599199
60,14,0.7233837
60,15,0.59818983
61,0,0.9042968000000001
61,1,0.72390497
61,2,0.56836325
61,3,0.80488056
61,4,0.81831247
61,5,0.9141725
61,6,0.73707044
61,7,0.96951556
61,8,0.9630610000000001
61,9,0.5662515
61,10,0.71643007
61,11,0.7720802
61,12,0.7196669
61,13,0.9847004999999999
61,14,0.92850316
61,15,0.87213796
62,0,0.5833116
62,1,0.47706977
62,2,0.29166457
62,3,0.53669536
62,4,0.5204009
62,5,0.59323484
62,6,0.29038358
62,7,0.64390266
62,8,0.62723696
62,9,0.41998370000000007
62,10,0.39278084
62,11,0.38770136
62,12,0.41026837
62,13,0.62538403
62,14,0.607085
62,15,0.5770458
63,0,0.71271867
63,1,0.49038770000000004
63,2,0.31066844
63,3,0.5782232
63,4,0.5566885
63,5,0.77552825
63,6,0.2633013
63,7,0.7237137
63,8,0.7030894
63,9,0.45211938
63,10,0.3929351
63,11,0.37520123
63,12,0.44456583
63,13,0.6964607
63,14,0.7118751999999999
63,15,0.6611127
64,0,0.8845685
64,1,0.7936846
64,2,0.47809702
64,3,0.76838404
64,4,0.78194237
64,5,0.85411733
64,6,0.6774486999999999
64,7,0.9662183000000001
64,8,0.94415617
64,9,0.55452454
64,10,0.8121908
64,11,0.75823796
64,12,0.74001914
64,13,0.9255299000000001
64,14,0.9030386
64,15,0.82169837
65,0,0.7614614000000001
65,1,0.6263550999999999
65,2,0.49780986
65,3,0.6029793999999999
65,4,0.65922993
65,5,0.80649567
65,6,0.5992274999999999
65,7,0.814052
65,8,0.747981
65,9,0.27715045
65,10,0.6672840999999999
65,11,0.69891727
65,12,0.6260397
65,13,0.77511054
65,14,0.7212891
65,15,0.69023424
66,0,0.83315927
66,1,0.77031654
66,2,0.52874136
66,3,0.7366403
66,4,0.69739324
66,5,0.853966
66,6,0.671354
66,7,0.91774344
66,8,0.8545246
66,9,0.27988264
66,10,0.63741744
66,11,0.68987375
66,12,0.6707933
66,13,0.87252617
66,14,0.88244027
66,15,0.8115623000000001
67,0,0.73615867
67,1,0.56073135
67,2,0.36226514
67,3,0.56874543
67,4,0.5287553
67,5,0.6621281
67,6,0.43547282
67,7,0.7530358
67,8,0.7106771
67,9,0.28971106
67,10,0.49228784
67,11,0.4152501
67,12,0.45292905
67,13,0.7355116999999999
67,14,0.75876474
67,15,0.66615343
68,0,0.8387283000000001
68,1,0.65821755
68,2,0.49479085
68,3,0.7639876
68,4,0.83217555
68,5,0.85902697
68,6,0.6587523000000001
68,7,0.90275073
68,8,0.93495524
68,9,0.7255943
68,10,0.69541985
68,11,0.75546217
68,12,0.7119495
68,13,0.9288714
68,14,0.8278847
68,15,0.81798553
69,0,0.8580940999999999
69,1,0.6814484000000001
69,2,0.46008867
69,3,0.72401357
69,4,0.7124195
69,5,0.8223393
69,6,0.6133281
69,7,0.9026801999999999
69,8,0.90824705
69,9,0.55580354
69,10,0.72621423
69,11,0.64800686
69,12,0.67603546
69,13,0.8998371
69,14,0.89078194
69,15,0.8041943
70,0,0.8084058000000001
70,1,0.7504526999999999
70,2,0.52125746
70,3,0.7361194000000001
70,4,0.77044487
70,5,0.83004284
70,6,0.7053206999999999
70,7,0.89964527
70,8,0.9006398999999999
70,9,0.48550063
70,10,0.75997084
70,11,0.7555887
70,12,0.70675236
70,13,0.88513905
70,14,0.8520285
70,15,0.78403956
71,0,0.6124132
71,1,0.37610668
71,2,0.33311772
71,3,0.47860307
71,4,0.42855528
71,5,0.60878664
71,6,0.22389428
71,7,0.60991645
71,8,0.5578675000000001
71,9,0.23065849
71,10,0.24833429
71,11,0.32470566
71,12,0.28414029999999996
71,13,0.6084813
71,14,0.5853373000000001
71,15,0.54848933
72,0,0.8500051
72,1,0.6679979
72,2,0.572181
72,3,0.7346194
72,4,0.72640336
72,5,0.8580473
72,6,0.7700089
72,7,0.8745780999999999
72,8,0.91546375
72,9,0.48883376
72,10,0.6915170999999999
72,11,0.7678761
72,12,0.694962
72,13,0.9105354999999999
72,14,0.88553375
72,15,0.8028225
73,0,0.7575082
73,1,0.7118809
73,2,0.45454523
73,3,0.670715
73,4,0.70591515
73,5,0.7644639
73,6,0.5930437
73,7,0.86252546
73,8,0.7628863
73,9,0.39525416
73,10,0.6778361999999999
73,11,0.7085418000000001
73,12,0.6635959
73,13,0.8010208000000001
73,14,0.7459918000000001
73,15,0.7171109
74,0,0.83235097
74,1,0.7228591999999999
74,2,0.43784225
74,3,0.6693560000000001
74,4,0.6495594
74,5,0.79918694
74,6,0.49064457
74,7,0.89007676
74,8,0.8216318000000001
74,9,0.29842627
74,10,0.6600235999999999
74,11,0.5708379
74,12,0.5640815
74,13,0.827773
74,14,0.8493370000000001
74,15,0.7496109000000001
75,0,0.58296776
75,1,0.43213826
75,2,0.32638407
75,3,0.43530062
75,4,0.44633758
75,5,0.6842403
75,6,0.326326
75,7,0.5960511
75,8,0.4982457
75,9,0.13387613
75,10,0.27000883
75,11,0.3246697
75,12,0.38073793
75,13,0.56123793
75,14,0.5579798
75,15,0.5521547
76,0,0.73184794
76,1,0.65706325
76,2,0.38924918
76,3,0.58078015
76,4,0.57350373
76,5,0.80713385
76,6,0.42153212
76,7,0.80581653
76,8,0.6949046999999999
76,9,0.1716318
76,10,0.5104036
76,11,0.43324664
76,12,0.53584266
76,13,0.7288154
76,14,0.7457302
76,15,0.7177661999999999
77,0,0.6930061
77,1,0.63435704
77,2,0.31034425
77,3,0.63335645
77,4,0.59660673
77,5,0.52092624
77,6,0.47015637
77,7,0.7689311
77,8,0.7883051999999999
77,9,0.5618846
77,10,0.67942595
77,11,0.5144412
77,12,0.53279495
77,13,0.75220007
77,14,0.75983465
77,15,0.64940053
78,0,0.52969766
78,1,0.3102761
78,2,0.25980762
78,3,0.40533772
78,4,0.30805632
78,5,0.50647324
78,6,0.18296114
78,7,0.50640076
78,8,0.43485206
78,9,0.19479492
78,10,0.25984365
78,11,0.27730256
78,12,0.23141283
78,13,0.48978922
78,14,0.55429524
78,15,0.42758548
79,0,0.7612573
79,1,0.50105363
79,2,0.40841007
79,3,0.6293181
79,4,0.595724
79,5,0.8122342
79,6,0.45273766
79,7,0.761404
79,8,0.76676756
79,9,0.49184406
79,10,0.42502049999999997
79,11,0.43957677
79,12,0.51648647
79,13,0.7922478000000001
79,14,0.7838759
79,15,0.73694605
80,0,0.6422872
80,1,0.44552657
80,2,0.33105522
80,3,0.5922426
80,4,0.4300394
80,5,0.56744665
80,6,0.45294229999999996
80,7,0.62556994
80,8,0.72278196
80,9,0.5184133
80,10,0.372643
80,11,0.37067863
80,12,0.39438233
80,13,0.69122255
80,14,0.7694979000000001
80,15,0.6222563
81,0,0.8717792999999999
81,1,0.6843646
81,2,0.49532527
81,3,0.75559705
81,4,0.7584095999999999
81,5,0.84608686
81,6,0.62319463
81,7,0.92088544
81,8,0.9219719999999999
81,9,0.6305623
81,10,0.7753777
81,11,0.7666469
81,12,0.6873461
81,13,0.91513336
81,14,0.88670486
81,15,0.7751156
82,0,0.6313095999999999
82,1,0.54784286
82,2,0.39172682
82,3,0.5460181
82,4,0.539204
82,5,0.6821722
82,6,0.35704935
82,7,0.6954064
82,8,0.6456031999999999
82,9,0.28298047
82,10,0.47808543
82,11,0.56008846
82,12,0.44566715
82,13,0.6540497
82,14,0.58261484
82,15,0.5790369000000001
83,0,0.6844209
83,1,0.62344253
83,2,0.48623180000000005
83,3,0.611187
83,4,0.7584519000000001
83,5,0.8214021
